City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Guarapari,BR,2023-01-28 22:20:36,-20.6667,-40.4975,79.9,89,15,12.64
67,Dongli,CN,2023-01-28 22:24:00,23.5656,116.8194,39.18,70,0,2.24
68,Nishihara,JP,2023-01-28 22:24:01,26.1842,127.7558,52.88,74,75,12.66
69,Srednekolymsk,RU,2023-01-28 22:24:01,67.45,153.6833,-20.4,97,100,1.28
70,Husavik,IS,2023-01-28 22:24:02,66.0449,-17.3389,35.85,91,68,10.98
71,Egvekinot,RU,2023-01-28 22:24:03,66.3167,-179.1667,9.79,97,99,0.43
72,Kirkwall,GB,2023-01-28 22:24:04,58.9848,-2.9587,44.96,81,40,20.71
73,Kanganpur,PK,2023-01-28 22:24:05,30.7663,74.1231,47.95,28,17,4.54
74,Saint-Augustin,CA,2023-01-28 22:24:05,51.226,-58.6502,7.63,95,98,4.99
75,San Julian,MX,2023-01-28 22:24:06,21.0167,-102.1667,72.77,18,22,13.49
76,Quatre Cocos,MU,2023-01-28 22:24:06,-20.2078,57.7625,77.09,86,92,4.45
77,Marsa Matruh,EG,2023-01-28 22:24:07,31.3525,27.2453,52.0,71,0,3.44
78,Inhambane,MZ,2023-01-28 22:24:07,-23.865,35.3833,74.84,92,5,3.65
79,Humberto De Campos,BR,2023-01-28 22:24:08,-2.5983,-43.4611,76.15,88,68,4.99
80,Vila Franca Do Campo,PT,2023-01-28 22:24:09,37.7167,-25.4333,55.81,80,42,7.0
81,Saskylakh,RU,2023-01-28 22:24:09,71.9167,114.0833,-34.38,99,96,3.33
82,Goure,NE,2023-01-28 22:24:10,13.9835,10.2704,76.19,15,100,2.39
83,Komsomolets,KZ,2023-01-28 22:24:11,53.7453,62.0708,1.67,97,46,4.25
84,Yerbogachen,RU,2023-01-28 22:24:12,61.2767,108.0108,-33.16,100,66,1.97
85,Villa Union,MX,2023-01-28 22:24:13,23.2,-106.2333,75.16,73,100,0.0
86,Mehamn,NO,2023-01-28 22:24:14,71.0357,27.8492,30.15,80,100,16.11
87,Olafsvik,IS,2023-01-28 22:24:14,64.8945,-23.7142,38.7,77,100,19.62
88,Nouakchott,MR,2023-01-28 22:24:15,18.0858,-15.9785,64.33,34,21,12.95
89,Taruma,BR,2023-01-28 22:25:16,-22.7467,-50.5772,76.42,82,25,4.05
