City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Upernavik,GL,72.7868,-56.1549,-10.23,82,96,4.9,overcast clouds
80,Gushikawa,JP,26.3544,127.8686,61.83,82,0,0.0,clear sky
81,Thompson,CA,55.7435,-97.8558,-29.04,68,0,14.97,clear sky
82,Tshela,CD,-4.9833,12.9333,84.36,71,20,2.93,few clouds
83,Hilo,US,19.7297,-155.09,76.28,81,20,6.91,few clouds
84,Albany,US,42.6001,-73.9662,30.4,54,91,3.0,overcast clouds
85,Atar,MR,20.5169,-13.0499,83.25,8,34,10.22,scattered clouds
86,Maragogi,BR,-9.0122,-35.2225,83.98,64,51,11.86,broken clouds
87,Nikolskoye,RU,59.7035,30.7861,30.09,98,100,2.73,overcast clouds
88,Dakar,SN,14.6937,-17.4441,86.88,74,63,17.6,broken clouds
89,Cape Town,ZA,-33.9258,18.4232,73.09,54,0,24.16,clear sky
90,Yaring,TH,6.8662,101.3689,75.79,91,68,7.7,broken clouds
91,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,3.44,light rain
92,Nanortalik,GL,60.1432,-45.2371,19.13,74,100,20.6,overcast clouds
93,Rio Piracicaba,BR,-19.9292,-43.1742,85.77,43,95,4.12,overcast clouds
94,Hammerfest,NO,70.6634,23.6821,27.05,86,75,9.22,light shower snow
95,Olafsvik,IS,64.8945,-23.7142,36.7,99,100,21.14,overcast clouds
96,Bocas Del Toro,PA,9.3333,-82.25,79.23,68,23,5.82,light rain
97,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-12.89,99,66,4.68,broken clouds
98,Yurga,RU,55.7231,84.8861,-5.06,100,50,2.53,scattered clouds
99,Westport,US,41.1415,-73.3579,38.44,52,0,8.99,clear sky
100,Cabo San Lucas,MX,22.8909,-109.9124,66.61,65,0,0.0,clear sky
101,Jamestown,US,42.097,-79.2353,30.56,49,0,11.5,clear sky
102,Vardo,NO,70.3705,31.1107,24.78,86,75,12.66,light snow
103,Saldanha,ZA,-33.0117,17.9442,71.65,79,0,21.52,clear sky
104,Leningradskiy,RU,69.3833,178.4167,-10.46,99,99,7.87,overcast clouds
105,Saint-Philippe,RE,-21.3585,55.7679,81.99,84,66,14.41,light rain
106,Conroe,US,30.3119,-95.456,39.54,96,100,5.75,light rain
107,Suntar,RU,62.1444,117.6319,-3.17,93,100,6.62,overcast clouds
108,Vilyuysk,RU,63.7553,121.6247,-9.83,99,100,1.63,overcast clouds
109,Bathsheba,BB,13.2167,-59.5167,83.01,61,40,21.85,scattered clouds
110,High Level,CA,58.5169,-117.136,-14.69,70,75,9.22,light snow
111,North Platte,US,41.1239,-100.7654,29.37,72,4,21.0,clear sky
112,Laguna,US,38.421,-121.4238,50.77,91,0,3.44,mist
113,Chuy,UY,-33.6971,-53.4616,79.05,63,88,12.28,light rain
114,Beyneu,KZ,45.3167,55.2,33.17,74,2,9.33,clear sky
115,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,100,8.05,overcast clouds
116,New Norfolk,AU,-42.7826,147.0587,47.7,79,50,2.77,scattered clouds
117,Biltine,TD,14.5333,20.9167,83.05,14,39,10.74,scattered clouds
118,Saint Anthony,US,45.0205,-93.218,13.24,53,0,25.32,clear sky
119,Clyde River,CA,70.4692,-68.5914,-25.37,62,20,9.22,few clouds
120,Kaputa,ZM,-8.4689,29.6619,70.74,85,68,2.08,light rain
121,East London,ZA,-33.0153,27.9116,76.14,73,100,8.05,light rain
122,Ponta Do Sol,PT,32.6667,-17.1,66.7,58,56,9.78,broken clouds
123,Katsuura,JP,35.1333,140.3,43.7,61,100,11.14,overcast clouds
124,Birin,NP,26.8865,88.0718,49.69,64,0,4.59,clear sky
125,Ko Samui,TH,9.5357,99.9357,80.82,70,92,4.9,overcast clouds
126,Torbay,CA,47.6666,-52.7314,18.39,72,75,19.57,broken clouds
127,Isangel,VU,-19.55,169.2667,79.45,86,20,5.41,few clouds
128,Constitucion,CL,-35.3333,-72.4167,74.53,43,0,17.96,clear sky
129,Golyshmanovo,RU,56.3979,68.3728,6.78,92,83,4.79,broken clouds
130,Faya,SA,18.3851,42.4509,59.11,74,14,3.4,few clouds
131,Berlevag,NO,70.8578,29.0864,24.8,86,100,9.22,snow
132,Esperance,AU,-33.8667,121.9,61.66,72,70,11.25,broken clouds
